City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Merida,MX,73.02,broken clouds,20.9667,-89.6167,Hotel Nacional Mérida
4,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Mataura,NZ,66.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
6,Rikitea,PF,78.03,overcast clouds,-23.1203,-134.9692,People ThankYou
8,Bluff,NZ,66.79,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
9,Xucheng,CN,74.1,scattered clouds,20.35,110.1288,Haixing Hotel
22,Guanica,PR,75.97,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
25,Namibe,AO,71.01,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
32,Ewa Beach,US,78.75,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
34,Mar Del Plata,AR,66.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
37,Cape Town,ZA,65.1,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
38,Arraial Do Cabo,BR,75.94,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
40,Hobart,AU,71.28,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
41,Victoria,HK,68.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
45,Axim,GH,77.47,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
53,Te Anau,NZ,70.9,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
57,New Norfolk,AU,70.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
64,Lakes Entrance,AU,74.57,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
72,Pozo Colorado,PY,76.17,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
74,Yarada,IN,73.72,haze,17.65,83.2667,Yarada Jungle Beach Resorts
76,Dunedin,NZ,69.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
79,Saint-Philippe,RE,78.12,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
81,Atuona,PF,77.67,clear sky,-9.8,-139.0333,Villa Enata
84,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
85,Jeremie,HT,75.83,few clouds,18.65,-74.1167,Auberge’Inn
94,Port Lincoln,AU,71.82,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
100,Puerto Colombia,CO,78.89,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
101,Carauari,BR,73.47,overcast clouds,-4.8828,-66.8958,Hotel Fellip
106,Santa Isabel,BR,69.1,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
111,Cabedelo,BR,74.07,light rain,-6.9811,-34.8339,Hotel Pigalle
117,Balsas,BR,70.93,overcast clouds,-7.5325,-46.0356,Novo Hotel
119,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
122,Port Alfred,ZA,66.38,light rain,-33.5906,26.891,The Halyards Hotel
124,Puerto Del Rosario,ES,65.88,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
131,Danielskuil,ZA,67.89,scattered clouds,-28.1887,23.5395,Botha'Sig Gastehuis
133,Sao Filipe,CV,70.68,broken clouds,14.8961,-24.4956,Hotel Xaguate
135,Chilca,PE,72.61,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
147,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
150,Basco,PH,75.97,broken clouds,20.4487,121.9702,Nathaniel's Lodge
154,Tamboril,DO,74.17,scattered clouds,19.4854,-70.611,Camp David Ranch Restaurant
