,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,82.78,78,100,17.07,overcast clouds
1,Barrow,US,71.2906,-156.7887,-5.78,77,100,17.27,overcast clouds
2,Busselton,AU,-33.65,115.3333,95.04,41,98,5.79,overcast clouds
3,Merida,MX,20.9667,-89.6167,73.02,68,75,20.71,broken clouds
4,Kapaa,US,22.0752,-159.319,78.78,70,0,1.01,clear sky
5,Mataura,NZ,-46.1927,168.8643,66.47,22,88,8.19,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,78.03,71,90,13.89,overcast clouds
7,Honiara,SB,-9.4333,159.95,82.98,73,100,6.02,overcast clouds
8,Bluff,NZ,-46.6,168.3333,66.79,60,92,8.95,overcast clouds
9,Xucheng,CN,20.35,110.1288,74.1,74,50,14.81,scattered clouds
10,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,64.51,77,0,5.82,clear sky
11,Youkounkoun,GN,12.5333,-13.1333,74.03,21,72,3.29,broken clouds
12,Wattegama,LK,6.7989,81.4808,79.72,73,41,3.13,scattered clouds
13,Colares,PT,38.7992,-9.4469,54.28,46,0,5.01,clear sky
14,Kirakira,SB,-10.4544,161.9205,83.91,75,99,10.16,overcast clouds
15,Katsuura,JP,35.1333,140.3,44.71,89,100,10.0,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,51.46,82,40,5.75,scattered clouds
17,Sivas,TR,39.7916,37.0019,0.23,84,0,4.61,clear sky
18,Bengkulu,ID,-3.8004,102.2655,81.46,72,100,0.6,moderate rain
19,Nikolskoye,RU,59.7035,30.7861,24.69,96,98,6.42,snow
20,Hamilton,US,39.1834,-84.5333,17.4,85,100,1.01,overcast clouds
21,Severo-Kurilsk,RU,50.6789,156.125,23.36,73,100,26.98,overcast clouds
22,Guanica,PR,17.9716,-66.908,75.97,87,5,1.99,clear sky
23,Albany,US,42.6001,-73.9662,21.15,71,100,3.0,overcast clouds
24,Kimbe,PG,-5.5502,150.1429,83.57,74,100,5.28,light rain
25,Namibe,AO,-15.1961,12.1522,71.01,83,100,6.17,overcast clouds
26,Hithadhoo,MV,-0.6,73.0833,80.67,66,52,8.34,broken clouds
27,Tulagi,SB,-9.0996,160.1476,80.6,75,100,8.46,overcast clouds
28,Skelleftea,SE,64.7507,20.9528,25.16,67,100,4.61,overcast clouds
29,Byron Bay,AU,-28.65,153.6167,85.71,66,41,10.49,scattered clouds
30,Qaanaaq,GL,77.484,-69.3632,-12.8,62,84,7.78,broken clouds
31,Kamareddi,IN,18.3167,78.35,62.37,33,10,3.87,clear sky
32,Ewa Beach,US,21.3156,-158.0072,78.75,66,40,8.01,scattered clouds
33,Punta Arenas,CL,-53.15,-70.9167,59.11,44,0,6.91,clear sky
34,Mar Del Plata,AR,-38.0023,-57.5575,66.09,74,0,3.0,clear sky
35,Kozhva,RU,65.1073,57.0459,3.56,93,100,9.95,overcast clouds
36,Ponta Do Sol,PT,32.6667,-17.1,61.43,51,66,4.43,broken clouds
37,Cape Town,ZA,-33.9258,18.4232,65.1,75,4,5.01,clear sky
38,Arraial Do Cabo,BR,-22.9661,-42.0278,75.94,91,98,6.29,overcast clouds
39,Zunyi,CN,27.6867,106.9072,35.01,100,100,1.59,light snow
40,Hobart,AU,-42.8794,147.3294,71.28,71,75,1.99,broken clouds
41,Victoria,HK,22.2855,114.1577,68.97,85,99,5.99,overcast clouds
42,Filingue,NE,14.3521,3.3168,65.23,16,0,12.59,clear sky
43,Westport,US,41.1415,-73.3579,31.24,92,100,1.01,snow
44,Grand Gaube,MU,-20.0064,57.6608,83.37,74,3,1.99,clear sky
45,Axim,GH,4.8699,-2.2405,77.47,84,51,2.26,broken clouds
46,Bredasdorp,ZA,-34.5322,20.0403,59.29,74,69,6.31,broken clouds
47,Lebu,CL,-37.6167,-73.65,58.1,92,3,4.03,clear sky
48,Castro,BR,-24.7911,-50.0119,58.95,99,100,9.31,overcast clouds
49,Hermanus,ZA,-34.4187,19.2345,59.81,79,46,11.95,scattered clouds
50,San Quintin,MX,30.4833,-115.95,59.67,55,33,1.9,scattered clouds
51,Izazi,TZ,-7.2,35.7333,68.45,97,100,1.74,moderate rain
52,Yellowknife,CA,62.456,-114.3525,-6.59,84,20,6.91,few clouds
53,Te Anau,NZ,-45.4167,167.7167,70.9,41,98,7.85,overcast clouds
54,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,40,17.27,scattered clouds
55,Dmitrovsk-Orlovskiy,RU,52.505,35.1464,25.43,98,98,5.14,overcast clouds
56,Vestmanna,FO,62.1564,-7.1664,38.32,81,100,17.27,drizzle
57,New Norfolk,AU,-42.7826,147.0587,70.92,53,99,1.99,overcast clouds
58,Butaritari,KI,3.0707,172.7902,81.46,79,41,16.37,scattered clouds
59,Tiksi,RU,71.6872,128.8694,-9.89,99,33,6.91,scattered clouds
60,Saskylakh,RU,71.9167,114.0833,-2.25,93,100,4.29,overcast clouds
61,Jamestown,US,42.097,-79.2353,13.32,85,100,10.36,overcast clouds
62,Chuy,UY,-33.6971,-53.4616,64.17,78,0,5.77,clear sky
63,Umba,RU,66.6871,34.3429,12.34,95,99,5.61,overcast clouds
64,Lakes Entrance,AU,-37.8811,147.981,74.57,95,100,6.44,overcast clouds
65,Abu Samrah,SY,35.3029,37.1841,38.5,92,100,3.78,overcast clouds
66,Kuching,MY,1.55,110.3333,86.22,74,20,3.44,few clouds
67,Thompson,CA,55.7435,-97.8558,-7.44,77,100,0.0,overcast clouds
68,Chokurdakh,RU,70.6333,147.9167,-29.22,96,90,0.63,overcast clouds
69,Kodiak,US,57.79,-152.4072,26.11,74,100,19.57,light snow
70,Fort Saint James,CA,54.4333,-124.25,26.87,98,100,2.04,overcast clouds
71,Kashi,CN,39.4547,75.9797,30.22,43,40,4.47,scattered clouds
72,Pozo Colorado,PY,-23.4923,-58.7972,76.17,58,9,4.47,clear sky
73,Dikson,RU,73.5069,80.5464,2.77,94,100,18.19,overcast clouds
74,Yarada,IN,17.65,83.2667,73.72,56,20,5.75,haze
75,Longyearbyen,SJ,78.2186,15.6401,8.44,78,0,16.11,clear sky
76,Dunedin,NZ,-45.8742,170.5036,69.8,54,100,3.0,overcast clouds
77,Muros,ES,42.7762,-9.0603,48.83,65,0,6.82,clear sky
78,Portland,US,45.5234,-122.6762,41.77,67,0,1.01,clear sky
79,Saint-Philippe,RE,-21.3585,55.7679,78.12,76,0,4.76,clear sky
80,Olbia,IT,40.9214,9.4856,45.16,91,33,3.53,scattered clouds
81,Atuona,PF,-9.8,-139.0333,77.67,78,5,13.22,clear sky
82,Coromandel,BR,-18.4733,-47.2003,64.9,91,99,3.09,overcast clouds
83,Kangaatsiaq,GL,68.3065,-53.4641,12.56,88,80,15.19,light snow
84,Alofi,NU,-19.0595,-169.9187,75.09,94,60,6.91,broken clouds
85,Jeremie,HT,18.65,-74.1167,75.83,80,22,6.11,few clouds
86,Mehran,IR,33.1222,46.1646,42.28,56,100,5.59,overcast clouds
87,Vanimo,PG,-2.6741,141.3028,83.28,73,94,5.44,overcast clouds
88,Upernavik,GL,72.7868,-56.1549,7.47,71,100,2.51,overcast clouds
89,Chernyshevskiy,RU,63.0128,112.4714,-16.69,97,35,2.82,scattered clouds
90,Mahon,ES,39.8885,4.2658,46.96,76,0,8.05,clear sky
91,Khatanga,RU,71.9667,102.5,-5.84,94,100,6.44,overcast clouds
92,Mahebourg,MU,-20.4081,57.7,83.25,94,40,1.14,scattered clouds
93,Kruisfontein,ZA,-34.0033,24.7314,62.89,86,95,0.67,light rain
94,Port Lincoln,AU,-34.7333,135.8667,71.82,65,89,15.28,overcast clouds
95,Ocampo,MX,21.65,-101.5,44.55,90,23,14.92,few clouds
96,Sabang,ID,5.8933,95.3214,82.38,76,16,10.71,few clouds
97,Waingapu,ID,-9.6567,120.2641,86.5,66,99,11.97,overcast clouds
98,Pevek,RU,69.7008,170.3133,-10.75,98,100,1.77,overcast clouds
99,Nabire,ID,-3.3667,135.4833,85.71,65,97,5.35,overcast clouds
100,Puerto Colombia,CO,10.9878,-74.9547,78.89,85,44,24.9,scattered clouds
101,Carauari,BR,-4.8828,-66.8958,73.47,98,100,2.26,overcast clouds
102,Jesup,US,31.6074,-81.8854,46.51,57,75,16.11,broken clouds
103,Preobrazheniye,RU,42.9019,133.9064,15.37,43,28,12.55,scattered clouds
104,Saint George,US,37.1041,-113.5841,52.27,25,0,1.99,clear sky
105,Tasiilaq,GL,65.6145,-37.6368,14.16,68,54,6.31,broken clouds
106,Santa Isabel,BR,-23.3156,-46.2214,69.1,99,100,1.01,overcast clouds
107,Cherskiy,RU,68.75,161.3,-10.23,94,100,5.06,overcast clouds
108,Lasa,IT,46.6166,10.7002,34.68,61,52,7.85,broken clouds
