City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Te Horo,NZ,2022-01-29 00:24:21,-40.8084,175.1233,74.88,64,68,7.0
1,Nalhati,IN,2022-01-29 00:24:22,24.3,87.8167,54.54,66,0,6.64
2,Vao,NC,2022-01-29 00:24:22,-22.6667,167.4833,78.78,83,100,22.62
3,Mayo,US,2022-01-29 00:24:22,38.8876,-76.5119,34.66,93,100,3.0
4,Busselton,AU,2022-01-29 00:24:23,-33.65,115.3333,79.05,50,39,9.15
5,Cayenne,GF,2022-01-29 00:24:23,4.9333,-52.3333,75.09,90,100,4.61
6,Tomatlan,MX,2022-01-29 00:24:24,19.9333,-105.25,81.72,46,82,5.19
7,Suba,PH,2022-01-29 00:24:24,10.8438,121.0102,81.59,74,98,2.19
8,Longyearbyen,SJ,2022-01-29 00:24:24,78.2186,15.6401,4.84,78,0,16.11
9,Jamestown,US,2022-01-29 00:24:25,42.097,-79.2353,15.08,62,100,7.0
10,Salinopolis,BR,2022-01-29 00:24:25,-0.6136,-47.3561,76.53,89,100,12.26
11,Mataura,NZ,2022-01-29 00:24:25,-46.1927,168.8643,72.48,29,97,5.79
12,Chinsali,ZM,2022-01-29 00:24:26,-10.5414,32.0816,63.46,96,100,0.83
13,Punta Arenas,CL,2022-01-29 00:22:27,-53.15,-70.9167,68.11,22,0,8.05
14,Morondava,MG,2022-01-29 00:24:26,-20.2833,44.2833,79.65,75,15,1.23
15,Port Hedland,AU,2022-01-29 00:24:27,-20.3167,118.5667,82.45,69,80,11.5
16,Parczew,PL,2022-01-29 00:24:27,51.6402,22.9006,34.41,80,95,19.17
17,Ushuaia,AR,2022-01-29 00:22:37,-54.8,-68.3,56.86,67,75,6.91
18,Koslan,RU,2022-01-29 00:24:28,63.4564,48.8989,10.76,94,100,7.92
19,Dikson,RU,2022-01-29 00:24:28,73.5069,80.5464,3.54,94,100,18.16
20,Saldanha,ZA,2022-01-29 00:24:28,-33.0117,17.9442,60.85,82,0,16.96
21,Fengzhen,CN,2022-01-29 00:24:29,40.4394,113.1536,11.95,66,0,1.68
22,Shetpe,KZ,2022-01-29 00:24:29,44.1667,52.1167,27.32,77,96,11.41
23,Cabedelo,BR,2022-01-29 00:23:56,-6.9811,-34.8339,72.27,73,74,11.72
24,Rikitea,PF,2022-01-29 00:24:30,-23.1203,-134.9692,78.26,69,100,14.18
25,Perth,AU,2022-01-29 00:20:35,-31.9333,115.8333,85.66,42,0,12.66
26,Lasa,IT,2022-01-29 00:24:30,46.6166,10.7002,36.48,58,54,8.21
27,Tuktoyaktuk,CA,2022-01-29 00:20:29,69.4541,-133.0374,-18.4,76,40,17.27
28,Hobart,AU,2022-01-29 00:24:31,-42.8794,147.3294,67.26,72,75,12.66
29,Qaanaaq,GL,2022-01-29 00:23:48,77.484,-69.3632,-12.86,59,22,8.03
30,Leningradskiy,RU,2022-01-29 00:24:31,69.3833,178.4167,-11.69,94,57,2.64
31,Hilo,US,2022-01-29 00:24:31,19.7297,-155.09,78.24,82,15,4.0
32,Kodiak,US,2022-01-29 00:22:00,57.79,-152.4072,26.11,74,100,14.97
33,Hermanus,ZA,2022-01-29 00:24:32,-34.4187,19.2345,59.81,77,1,11.74
34,Ribeira Grande,PT,2022-01-29 00:24:32,38.5167,-28.7,58.69,61,78,6.91
35,Tuatapere,NZ,2022-01-29 00:22:50,-46.1333,167.6833,72.82,40,95,3.65
36,Cape Town,ZA,2022-01-29 00:22:39,-33.9258,18.4232,66.61,66,0,3.0
37,Komsomolskiy,UZ,2022-01-29 00:24:33,40.4272,71.7189,38.12,38,40,6.91
38,Narsaq,GL,2022-01-29 00:24:33,60.9167,-46.05,19.62,95,100,5.86
39,Baiao,BR,2022-01-29 00:24:34,-2.7906,-49.6717,72.77,98,94,2.64
40,Bilisht,AL,2022-01-29 00:24:34,40.6275,20.99,30.88,92,78,6.2
41,Swan River,CA,2022-01-29 00:24:34,52.1058,-101.2676,4.89,78,100,2.3
42,Airai,TL,2022-01-29 00:23:55,-8.9266,125.4092,66.58,77,100,4.27
43,Englehart,CA,2022-01-29 00:24:35,47.8169,-79.8664,-5.78,77,0,5.75
44,Pisco,PE,2022-01-29 00:24:35,-13.7,-76.2167,69.85,73,20,16.11
45,San Cristobal,VE,2022-01-29 00:21:00,7.7669,-72.225,73.58,84,57,3.42
46,Kiunga,PG,2022-01-29 00:24:36,-6.1219,141.2906,74.1,97,100,1.12
47,Gat,IL,2022-01-29 00:24:36,31.61,34.7642,48.4,100,53,6.62
48,Hamilton,US,2022-01-29 00:23:06,39.1834,-84.5333,20.39,86,100,1.01
49,Sobolevo,RU,2022-01-29 00:25:37,54.4299,31.8996,32.0,99,100,5.32
50,Dong Hoi,VN,2022-01-29 00:25:37,17.4833,106.6,69.12,94,41,2.93
51,Atuona,PF,2022-01-29 00:25:37,-9.8,-139.0333,77.76,72,8,13.53
52,Bluff,NZ,2022-01-29 00:25:38,-46.6,168.3333,72.81,64,93,6.31
53,Salalah,OM,2022-01-29 00:25:38,17.0151,54.0924,75.29,38,0,14.97
54,Esperance,AU,2022-01-29 00:25:39,-33.8667,121.9,71.44,60,0,12.84
55,Quatre Cocos,MU,2022-01-29 00:25:39,-20.2078,57.7625,77.11,81,21,7.38
56,Thompson,CA,2022-01-29 00:25:40,55.7435,-97.8558,-5.64,71,100,2.3
57,Ponta Do Sol,PT,2022-01-29 00:25:40,32.6667,-17.1,61.72,64,78,6.11
58,Ambilobe,MG,2022-01-29 00:25:41,-13.2,49.05,73.45,91,94,1.83
59,Noumea,NC,2022-01-29 00:21:44,-22.2763,166.4572,84.18,99,100,11.25
60,Puerto Ayora,EC,2022-01-29 00:25:41,-0.7393,-90.3518,74.25,82,63,8.25
61,Albany,US,2022-01-29 00:23:37,42.6001,-73.9662,25.45,78,100,3.0
62,Taltal,CL,2022-01-29 00:25:42,-25.4,-70.4833,66.79,78,23,5.99
63,Pevek,RU,2022-01-29 00:25:42,69.7008,170.3133,-12.44,98,57,1.97
64,Cooma,AU,2022-01-29 00:25:42,-36.2333,149.1333,67.77,94,100,4.61
65,Sringeri,IN,2022-01-29 00:25:43,13.4167,75.25,67.1,90,76,4.16
66,Constitucion,CL,2022-01-29 00:25:43,-35.3333,-72.4167,58.91,89,0,7.07
67,Pallasovka,RU,2022-01-29 00:25:43,50.05,46.8833,-2.47,100,98,4.97
68,Atherton,GB,2022-01-29 00:25:44,53.5237,-2.4935,52.9,83,100,13.0
69,Alofi,NU,2022-01-29 00:25:44,-19.0595,-169.9187,85.89,70,72,11.5
70,Margate,GB,2022-01-29 00:25:44,51.3813,1.3862,48.96,85,100,5.01
71,Oranjemund,NA,2022-01-29 00:25:45,-28.55,16.4333,63.55,86,37,17.27
72,Vostok,RU,2022-01-29 00:21:23,46.4856,135.8833,-7.37,94,100,5.55
73,Saryozek,KZ,2022-01-29 00:25:45,44.3583,77.9753,17.91,57,75,5.91
74,Sungaipenuh,ID,2022-01-29 00:25:46,-2.0833,101.3833,64.04,95,99,3.62
75,Shingu,JP,2022-01-29 00:25:46,33.7333,135.9833,47.39,63,92,4.34
76,Ruteng,ID,2022-01-29 00:25:46,-8.6136,120.4721,68.07,80,99,1.16
77,Zharkent,KZ,2022-01-29 00:25:47,44.1628,80.0,20.23,51,6,2.77
78,Provideniya,RU,2022-01-29 00:25:47,64.3833,-173.3,0.72,97,20,2.64
79,Mahebourg,MU,2022-01-29 00:25:47,-20.4081,57.7,77.29,88,40,0.0
80,Marsh Harbour,BS,2022-01-29 00:25:48,26.5412,-77.0636,73.98,70,100,22.7
81,New Norfolk,AU,2022-01-29 00:25:48,-42.7826,147.0587,67.91,56,98,1.01
82,Waingapu,ID,2022-01-29 00:25:49,-9.6567,120.2641,81.28,78,100,8.77
83,Yellowknife,CA,2022-01-29 00:25:49,62.456,-114.3525,-2.58,87,40,9.22
84,Komsomolskoye,RU,2022-01-29 00:25:49,55.2567,47.5461,12.07,98,98,6.17
85,Kota Kinabalu,MY,2022-01-29 00:25:50,5.9749,116.0724,80.58,83,20,3.44
86,Ruy Barbosa,BR,2022-01-29 00:25:50,-12.2839,-40.4939,72.95,82,79,4.5
87,Namibe,AO,2022-01-29 00:25:50,-15.1961,12.1522,72.07,82,100,6.55
88,Khatanga,RU,2022-01-29 00:23:50,71.9667,102.5,-2.54,88,100,4.97
89,Gadsden,US,2022-01-29 00:25:51,34.0143,-86.0066,43.03,52,75,13.8
90,Waipawa,NZ,2022-01-29 00:25:51,-41.4122,175.5153,72.23,41,52,7.47
91,Meulaboh,ID,2022-01-29 00:25:39,4.1363,96.1285,77.7,88,63,2.51
92,Barrow,US,2022-01-29 00:25:52,71.2906,-156.7887,-5.78,71,100,16.11
93,Bengkulu,ID,2022-01-29 00:23:55,-3.8004,102.2655,76.14,86,100,3.49
94,Butaritari,KI,2022-01-29 00:26:52,3.0707,172.7902,81.82,79,55,16.42
95,Iqaluit,CA,2022-01-29 00:26:53,63.7506,-68.5145,-16.87,69,75,13.8
96,Sao Miguel Do Araguaia,BR,2022-01-29 00:23:11,-13.275,-50.1628,70.84,94,98,5.08
97,Kathmandu,NP,2022-01-29 00:26:53,27.7167,85.3167,39.42,93,20,2.3
